Código	Nombre Prueba	"Tiempo de Entrega(Días hábiles)"	"Precio (Sin I.V.A.)"	Precio (Con I.V.A.)
1261	Monotest (Ac. Heterófilos)	0	$137.07 	$159.00 
1261	Paul Bunnell (Ac. Heterófilos)	0	$137.07 	$159.00 
1263	Tiempo de Tromboplastina Parcial Activada (TTPa)	0	$77.59 	$90.00 
1263	TTPa (Tiempo de Tromboplastina Parcial Activada)	0	$77.59 	$90.00 
1265	VDRL	0	$67.24 	$78.00 
1266	Ac. Anti-Listeria	Favor de comunicarse para solicitar información.		
1266	"Listeria, Anticuerpos"	Favor de comunicarse para solicitar información.		
1269	Prolactina Postprandial	0	$92.24 	$107.00 
1270	Perfil Cardíaco	0	$199.14 	$231.00 
1272	17 Hidroxicorticosteroides en Orina de 24 horas	4	$280.17 	$325.00 
1274	Ácido Úrico en Orina	0	$32.76 	$38.00 
1276	Adrenalina en Orina de 24 horas	3	$259.48 	$301.00 
1278	Aldolasa	6	$155.17 	$180.00 
1279	Aldosterona en Orina	4	$373.28 	$433.00 
1280	Alfa 1 Antitripsina	2	$452.59 	$525.00 
1281	Amilasa Total en Orina de 24 horas	0	$83.62 	$97.00 
1282	Anfetaminas en Orina (Confirmatoria)	7	"$1,024.14 "	"$1,188.00 "
1283	Anticoagulante Circulatorio Lúpico	2	$296.55 	$344.00 
1283	Anticoagulante Lúpico	2	$296.55 	$344.00 
1284	Ac. Anti-Centrómero	3	$259.48 	$301.00 
1284	"Centrómero, Anticuerpos"	3	$259.48 	$301.00 
1285	Ac. Anti-Cisticerco en Líquido Cefalorraquídeo	8	$357.76 	$415.00 
1285	"Cisticerco, Anticuerpos en LCR"	8	$357.76 	$415.00 
1286	Ac. Anti-Citoplasma de Neutrófilos Citoplasmáticos (c-ANCA)	3	$325.86 	$378.00 
1286	Ac. Anti-Proteinasa 3 (c-ANCA)	3	$325.86 	$378.00 
1286	c-ANCA (Ac. Anti-Citoplasma de Neutrófilos Citoplasmáticos)	3	$325.86 	$378.00 
1287	Nicotina	Favor de comunicarse para solicitar información.		
1289	Ac. Anti-Antígeno Cápside Epstein Barr (VCA) IgM	2	$276.72 	$321.00 
1289	Ac. Anti-Epstein Barr Antígeno Cápside (VCA) IgM	2	$276.72 	$321.00 
1290	Ac. Anti-Escleroderma (Scl-70) IgG	3	$324.14 	$376.00 
1290	Ac. Anti-Scl-70 (Escleroderma) IgG	3	$324.14 	$376.00 
1291	Antígeno Carbohidrato 27-29 (Mama) 	8	$769.83 	$893.00 
1291	CA 27-29 (Mama) 	8	$769.83 	$893.00 
1291	Marcador Tumoral 27-29 (Mama) 	8	$769.83 	$893.00 
1292	Antígeno de Cryptococcus neoformans	5	$614.66 	$713.00 
1292	"Cryptococcus neoformans, Antígeno de"	5	$614.66 	$713.00 
1293	Antígeno Carbohidrato 72-4 (Colon)	3	$632.76 	$734.00 
1293	CA 72-4 (Colon)	3	$632.76 	$734.00 
1293	Marcador Tumoral 72-4 (Colon)	3	$632.76 	$734.00 
1294	Antígeno de Compatibilidad HLA B-27	2	$461.21 	$535.00 
1294	Antígeno HLA B-27	2	$461.21 	$535.00 
1294	"HLA B-27, Antígeno"	2	$461.21 	$535.00 
1296	Apolipoproteína A1	1	$242.24 	$281.00 
1297	Azúcares Reductores en Heces	0	$44.83 	$52.00 
1297	Cuerpos Reductores (Azúcares Reductores) en Heces	0	$44.83 	$52.00 
1302	Bandas Oligoclonales en Líquido Cefalorraquídeo	9	$958.62 	"$1,112.00 "
1305	Calcio en Orina de 24 horas	0	$42.24 	$49.00 
1306	Canabinoides (THC) en Orina (Confirmatoria)	Favor de comunicarse para solicitar información.		
1306	Mariguana (THC) en Orina (Confirmatoria)	Favor de comunicarse para solicitar información.		
1309	Ciclosporina 	2	$940.52 	"$1,091.00 "
1310	Leucocitos en Moco Fecal	0	$68.10 	$79.00 
1311	Eosinófilos en Moco Nasal	0	$31.90 	$37.00 
1312	Clonazepam (Rivotril) 	4	"$1,500.00 "	"$1,740.00 "
1312	Clonopin (Clonazepam) 	4	"$1,500.00 "	"$1,740.00 "
1312	Klonopin (Clonazepam) 	4	"$1,500.00 "	"$1,740.00 "
1312	Rivotril (Clonazepam) 	4	"$1,500.00 "	"$1,740.00 "
1313	Cloro en Orina de 24 horas	0	$49.14 	$57.00 
1315	Antiglobulina Humana (Coombs Directo)	0	$80.17 	$93.00 
1315	Coombs Directo	0	$80.17 	$93.00 
1316	Ac. Anti-Rh (Coombs Indirecto)	0	$100.00 	$116.00 
1316	Coombs Indirecto (Rastreo de Anti-D)	0	$100.00 	$116.00 
1317	Coprocultivo	5	$442.24 	$513.00 
1317	Cultivo de Heces (Coprocultivo)	5	$442.24 	$513.00 
1318	Coprológico	0	$73.28 	$85.00 
1319	Coproparasitoscópico 1 Muestra 	0	$37.07 	$43.00 
1320	Coproparasitoscópico 3 Muestras	0	$100.00 	$116.00 
1323	Algutininas Frías (Crioaglutininas)	4	$157.76 	$183.00 
1323	Crioaglutininas (Algutininas Frías)	4	$157.76 	$183.00 
1324	Cultivo de Exudado Vaginal	5	$216.38 	$251.00 
1324	"Exudado Vaginal, Cultivo de"	5	$216.38 	$251.00 
1325	Cultivo de Esputo	5	$175.86 	$204.00 
1325	"Esputo, Cultivo de"	5	$175.86 	$204.00 
1327	Cultivo de Heridas y Abscesos Abiertos	5	$438.79 	$509.00 
1327	"Heridas y Abscesos Abiertos, Cultivo de"	5	$438.79 	$509.00 
1328	Cultivo de Hongos	23	$188.79 	$219.00 
1328	"Hongos, Cultivo de"	23	$188.79 	$219.00 
1329	Cultivo de Mycobacterium (BAAR)	50	$768.10 	$891.00 
1329	"Mycobacterium (BAAR), Cultivo de"	50	$768.10 	$891.00 
1330	Cultivo de Líquido Cefalorraquídeo	5	$257.76 	$299.00 
1330	"Líquido Cefalorraquídeo, Cultivo de"	5	$257.76 	$299.00 
1331	Cultivo de Mycoplasma hominis / Ureaplasma urealyticum	5	$393.97 	$457.00 
1331	"Mycoplasma hominis / Ureaplasma urealyticum, Cultivo de"	5	$393.97 	$457.00 
1332	Cultivo de Orina (Urocultivo)	5	$175.86 	$204.00 
1332	Urocultivo (Cultivo de Orina)	5	$175.86 	$204.00 
1333	Cultivo de Exudado Uretral 	5	$178.45 	$207.00 
1333	"Exudado Uretral, Cultivo de"	5	$178.45 	$207.00 
1335	Cultivo de Exudado Ocular 	5	$175.86 	$204.00 
1335	"Exudado Ocular, Cultivo de"	5	$175.86 	$204.00 
1336	Cultivo de Esperma (Espermocultivo)	5	$175.86 	$204.00 
1336	Espermocultivo (Cultivo de Esperma)	5	$175.86 	$204.00 
1338	Cultivo de Exudado Faríngeo	5	$175.86 	$204.00 
1338	"Exudado Faríngeo, Cultivo de"	5	$175.86 	$204.00 
1339	Cultivo de Exudado Nasal (una narina)	5	$268.10 	$311.00 
1339	"Exudado Nasal (una narina), Cultivo de"	5	$268.10 	$311.00 
1340	Cultivo de Exudado Nasofaríngeo	5	$175.86 	$204.00 
1340	"Exudado Nasofaríngeo, Cultivo de"	5	$175.86 	$204.00 
1342	"Electrolitos (Na, K, Cl) en Orina de 24 horas"	0	$193.10 	$224.00 
1343	Prueba Inmunológica de Embarazo en Orina 	0	$66.38 	$77.00 
1344	Prueba Inmunológica de Embarazo	0	$64.66 	$75.00 
1346	Fibrinógeno	0	$218.97 	$254.00 
1353	Glucosa en Orina	0	$36.21 	$42.00 
1355	Cultivo de Sangre Aerobio	14	$399.14 	$463.00 
1355	Hemocultivo Aerobio	14	$399.14 	$463.00 
1358	Biopsias Grandes (entre 5 y 10 cm)	7	$785.34 	$911.00 
1358	Histopatológico de Piezas Grandes (entre 5 y 10 cm)	7	$785.34 	$911.00 
1360	Biopsias Chicas (< 1 cm)	4	$379.31 	$440.00 
1360	Histopatológico de Piezas Chicas (< 1 cm)	4	$379.31 	$440.00 
1361	Nitrógeno Ureico en Orina de 24 horas	0	$38.79 	$45.00 
1362	Dopamina 	7	$947.41 	"$1,099.00 "
1364	"Oxiuros, Investigación de (Prueba de Graham)"	0	$35.34 	$41.00 
1364	Prueba de Graham (Investigación de Oxiuros)	0	$35.34 	$41.00 
1365	Perfil Autoinmune I	3	$947.41 	"$1,099.00 "
1366	"Alergia Alimenticia, Perfil de"	3	"$1,969.83 "	"$2,285.00 "
1366	Perfil de Alergia Alimenticia	3	"$1,969.83 "	"$2,285.00 "
1367	"Alergia Inhalatoria, Perfil de"	3	"$1,969.83 "	"$2,285.00 "
1367	Perfil de Alergia Inhalatoria	3	"$1,969.83 "	"$2,285.00 "
1369	Perfil de Diabetes (Control) 	0	$518.10 	$601.00 
1370	Perfil de Lípidos Básico	0	$176.72 	$205.00 
1371	Perfil de Marcadores Tumorales de Páncreas	0	$503.45 	$584.00 
1374	Troponina T 	5	$757.76 	$879.00 
1375	Perfil de Raquitismo	0	$88.79 	$103.00 
1376	Check-Up Femenino	3	$889.66 	"$1,032.00 "
1377	Check-Up Masculino	0	$811.21 	$941.00 
1378	Perfil Prenatal	0	$266.38 	$309.00 
1379	Perfil de Funcionamiento Renal 	0	$375.00 	$435.00 
1383	Proteínas Totales en Orina de 24 horas	0	$43.97 	$51.00 
1386	Perfil TORCH IgG e IgM	3	"$1,171.55 "	"$1,359.00 "
1386	"TORCH IgG e IgM, Perfil"	3	"$1,171.55 "	"$1,359.00 "
1387	"Plaquetas, Cuenta de "	0	$71.55 	$83.00 
1389	Potasio en Orina de 24 horas	0	$61.21 	$71.00 
1391	Reacciones Febriles	0	$76.72 	$89.00 
1392	Reticulocitos 	0	$40.52 	$47.00 
1393	Sangre Oculta en Heces	0	$64.66 	$75.00 
1394	Sodio en Orina de 24 horas	0	$61.21 	$71.00 
1395	Tiempo de Protrombina (TP)	0	$77.59 	$90.00 
1395	TP (Tiempo de Protrombina)	0	$77.59 	$90.00 
1396	Tiempo de Trombina (TT)	0	$106.03 	$123.00 
1396	TT (Tiempo de Trombina)	0	$106.03 	$123.00 
1399	Apolipoproteínas A1 y B	1	$426.72 	$495.00 
1400	Ac. Anti-HIV 1 y 2 / Antígeno p24 (Prueba Presuntiva)	0	$159.48 	$185.00 
1400	Antígeno p24 / Ac. Anti-HIV 1 y 2 (Prueba Presuntiva)	0	$159.48 	$185.00 
1400	"HIV 1 y 2, Anticuerpos / Antígeno p24 (Prueba Presuntiva)"	0	$159.48 	$185.00 
1400	"VIH 1 y 2, Anticuerpos / Antígeno p24 (Prueba Presuntiva)"	0	$159.48 	$185.00 
1401	Ac. Anti-Fosfolípidos IgG e IgM	3	$516.38 	$599.00 
1401	"Fosfolípidos IgG e IgM, Anticuerpos"	3	$516.38 	$599.00 
1410	Zinc	10	$567.24 	$658.00 
1413	Perfil Tiroideo I	0	$286.21 	$332.00 
1414	Perfil Tiroideo II	0	$228.45 	$265.00 
1415	Perfil Tiroideo III	0	$161.21 	$187.00 
1417	"Cultivo de Líquidos Biológicos (Bronquial, Ascitis o Peritoneal, Sinovial, Diálisis)"	5	$300.00 	$348.00 
1417	"Líquidos Biológicos (Bronquial, Ascitis o Peritoneal, Sinovial, Diálisis), Cultivo de"	5	$300.00 	$348.00 
1418	Cultivo de Exudado Ótico 	5	$198.28 	$230.00 
1418	"Exudado Ótico, Cultivo de"	5	$198.28 	$230.00 
1421	Rotavirus en Heces	1	$247.41 	$287.00 
1423	Hormona Estimulante de Tiroides (TSH) Neonatal 	3	$82.76 	$96.00 
1423	TSH Neonatal (Hormona Estimulante de Tiroides) 	3	$82.76 	$96.00 
1427	Catecolaminas Totales en Orina de 24 horas	6	$744.83 	$864.00 
1428	Glucosa 6 Fosfato Deshidrogenasa 	10	$553.45 	$642.00 
1430	Biotinidasa Neonatal	3	$95.69 	$111.00 
1451	"Absceso Cerrado, Cultivo de"	5	$485.34 	$563.00 
1451	Cultivo de Absceso Cerrado	5	$485.34 	$563.00 
1453	Biopsia de Órganos Especiales	7	"$1,100.00 "	"$1,276.00 "
1453	Histopatológico de Órganos Especiales	7	"$1,100.00 "	"$1,276.00 "
1454	Citología (Papanicolaou) Cérvico-Vaginal con Foto	3	$157.76 	$183.00 
1454	Papanicolaou (Citología) Cérvico-Vaginal con Foto	3	$157.76 	$183.00 
1456	Perfil Hormonal Femenino sin H. del Crecimiento / con Ac. Anti-Tiroideos	0	$890.52 	"$1,033.00 "
1457	Perfil Hormonal Masculino sin H. del Crecimiento / con Ac. Anti-Tiroideos	0	$795.69 	$923.00 
1458	Proteína C Reactiva Ultrasensible	0	$164.66 	$191.00 
1459	T4-Neonatal (Tiroxina Neonatal)	3	$91.38 	$106.00 
1461	17 Alfa Hidroxiprogesterona Neonatal 	3	$119.83 	$139.00 
1463	Perfil de Marcadores Tumorales Básico	0	$254.31 	$295.00 
1464	Apolipoproteína B	1	$242.24 	$281.00 
1465	HCV Confirmatoria (RIBA)	5	"$3,006.90 "	"$3,488.00 "
1465	Hepatitis C Confirmatoria (RIBA)	5	"$3,006.90 "	"$3,488.00 "
1465	VHC Confirmatoria (RIBA)	5	"$3,006.90 "	"$3,488.00 "
1468	Beta 2 Microglobulina en Orina de 24 horas	1	$292.24 	$339.00 
1469	Perfil Autoinmune II	1	"$1,064.66 "	"$1,235.00 "
1471	Dímero D	0	$339.66 	$394.00 
1487	Ac. Anti-Ovario	Favor de comunicarse para solicitar información.		
1487	"Ovario, Anticuerpos"	Favor de comunicarse para solicitar información.		
1512	Perfil de Coagulación 	0	$254.31 	$295.00 
1513	Perfil Preoperatorio	0	$409.48 	$475.00 
1516	Sodio en Orina	0	$54.31 	$63.00 
1518	Potasio en Orina	0	$50.86 	$59.00 
1521	Cloro en Orina	0	$49.14 	$57.00 
1522	Inhibina B	Favor de comunicarse para solicitar información.		
1525	Citología Uretral (Papanicolaou)	5	$287.93 	$334.00 
1525	Papanicolaou de Secreción Uretral 	5	$287.93 	$334.00 
1593	CH-50 (Complemento Hemolítico al 50%)	3	$262.93 	$305.00 
1593	Complemento Hemolítico al 50% (CH-50)	3	$262.93 	$305.00 
1595	Calcio en Orina	0	$43.97 	$51.00 
1596	Ac. Anti-Citoplasma de Neutrófilos Perinucleares (p-ANCA)	3	$325.86 	$378.00 
1596	Ac. Anti-Mieloperoxidasa (p-ANCA)	3	$325.86 	$378.00 
1596	p-ANCA (Ac. Anti-Citoplasma de Neutrófilos Perinucleares)	3	$325.86 	$378.00 
1598	Magnesio en Orina de 24 horas	0	$72.41 	$84.00 
1605	Leptina	5	$478.45 	$555.00 
1606	Ac. Anti-Descarboxilasa del Ácido Glutámico (GAD)	10	$706.03 	$819.00 
1606	Ac. Anti-GAD (Glutamato Descarboxilasa)	10	$706.03 	$819.00 
1608	Ácido Fenilmercaptúrico (Benceno)	Favor de comunicarse para solicitar información.		
1608	Benceno (Ácido Fenilmercaptúrico)	Favor de comunicarse para solicitar información.		
1620	Homocisteína	2	$416.38 	$483.00 
1632	Ac. Anti-Cardiolipinas IgA	3	$292.24 	$339.00 
1632	"Cardiolipinas IgA, Anticuerpos"	3	$292.24 	$339.00 
1633	Procalcitonina	0	$434.48 	$504.00 
1634	Ac. Anti-Fosfolípidos IgM	3	$273.28 	$317.00 
1634	"Fosfolípidos IgM, Anticuerpos"	3	$273.28 	$317.00 
1639	Ac. Anti-Parvovirus B19	8	$762.93 	$885.00 
1639	"Parvovirus B19, Anticuerpos"	8	$762.93 	$885.00 
1657	Análisis Microbiológico de Superficies Vivas (NOM-092-SSA1-1994 y NOM-113-SSA1-1994)	10	$524.14 	$608.00 
1657	Cultivo de Cutícula Sub-Ungueal (NOM-092-SSA1-1994 y NOM-113-SSA1-1994)	10	$524.14 	$608.00 
1657	Cultivo de Manos (NOM-092-SSA1-1994 y NOM-113-SSA1-1994)	10	$524.14 	$608.00 
1660	Oxcarbazepina (Trileptal)	Favor de comunicarse para solicitar información.		
1662	Ac. Anti-Músculo Liso por Inmunofluorescencia	4	$393.97 	$457.00 
1662	"Músculo Liso por Inmunofluorescencia, Anticuerpos"	4	$393.97 	$457.00 
1677	Perfil Especial de Embarazo 	1	"$1,682.76 "	"$1,952.00 "
1680	Plomo en personas ocupacionalmente expuestas	6	$331.03 	$384.00 
1682	Cultivo de Exudado Vulvar	5	$175.86 	$204.00 
1682	"Exudado Vulvar, Cultivo de"	5	$175.86 	$204.00 
1683	CK-Isoenzimas	Favor de comunicarse para solicitar información.		
1683	Creatinfosfoquinasa Isoenzimas	Favor de comunicarse para solicitar información.		
1683	Isoenzimas de la Creatinfosfoquinasa	Favor de comunicarse para solicitar información.		
1717	Pregnenolona	14	"$3,079.31 "	"$3,572.00 "
1718	Chlamydia trachomatis por PCR Cualitativa	5	$855.17 	$992.00 
1718	Detección de Chlamydia trachomatis por PCR Cualitativa	5	$855.17 	$992.00 
1718	PCR Cualitativa para Chlamydia trachomatis	5	$855.17 	$992.00 
1721	Perfil Reumático III	5	$559.48 	$649.00 
1726	Carga Viral de Epstein Barr por PCR	Favor de comunicarse para solicitar información.		
1726	Epstein Barr Virus Carga Viral por PCR	Favor de comunicarse para solicitar información.		
1726	PCR Epstein Barr Virus Carga Viral	Favor de comunicarse para solicitar información.		
1731	Cultivo de Exudado de Prepucio	5	$198.28 	$230.00 
1731	"Exudado de Prepucio, Cultivo de"	5	$198.28 	$230.00 
1747	Ac. Anti-Mycoplasma pneumoniae IgG e IgM	9	$782.76 	$908.00 
1747	"Mycoplasma pneumoniae IgG e IgM, Anticuerpos"	9	$782.76 	$908.00 
1748	"Electrolitos (Na, K, Cl, CO2)"	0	$148.28 	$172.00 
1752	Urea Post-Diálisis	0	$27.59 	$32.00 
1754	Perfil de Marcadores Tumorales Femenino II	3	"$1,573.28 "	"$1,825.00 "
1781	Prograf (Tacrolimus)	2	$735.34 	$853.00 
1781	Tacrolimus (Prograf)	2	$735.34 	$853.00 
1804	Ac. Anti-Brucella IgG e IgM	9	$733.62 	$851.00 
1804	"Brucella IgG e IgM, Anticuerpos"	9	$733.62 	$851.00 
1805	Ac. Anti-Chlamydia trachomatis IgA	2	$852.59 	$989.00 
1805	"Chlamydia trachomatis IgA, Anticuerpos"	2	$852.59 	$989.00 
1806	"Ac. Anti-ENA (SSA, SSB, RNP, Sm), Perfil de"	1	$839.66 	$974.00 
1806	"Perfil de Ac. Anti-ENA (SSA, SSB, RNP, Sm)"	1	$839.66 	$974.00 
1807	Ac. Anti-CCP (Péptido Cíclico Citrulinado)	2	$582.76 	$676.00 
1807	Ac. Anti-Péptido Cíclico Citrulinado	2	$582.76 	$676.00 
1808	Ac. Anti-Helicobacter pylori IgA	3	$384.48 	$446.00 
1808	"Helicobacter pylori IgA, Anticuerpos"	3	$384.48 	$446.00 
1809	Ac. Anti-Microsomales (TPO)	0	$194.83 	$226.00 
1809	Ac. Anti-Peroxidasa Tiroidea (TPO)	0	$194.83 	$226.00 
1810	Ac. Anti-RNA	6	$356.03 	$413.00 
1810	"RNA, Anticuerpos"	6	$356.03 	$413.00 
1811	Ac. Anti-Coloide Tiroideo (Ac. Anti-Tiroglobulina)	0	$168.10 	$195.00 
1811	Ac. Anti-Tiroglobulina	0	$168.10 	$195.00 
1812	"Ac. Anti-Tiroideos, Perfil de"	0	$260.34 	$302.00 
1812	Perfil de Ac. Anti-Tiroideos	0	$260.34 	$302.00 
1813	Antígeno Cyfra 21-1 (Pulmón)	2	$713.79 	$828.00 
1813	"CA 21-1 (Antígeno Cyfra 21-1, Pulmón)"	2	$713.79 	$828.00 
1813	Marcador Tumoral 21-1 (Pulmón)	2	$713.79 	$828.00 
1814	Antígeno de Chlamydia Endocervical por Inmunocromatografía	0	$193.97 	$225.00 
1815	Antígeno de Chlamydia Uretral	0	$202.59 	$235.00 
1815	"Chlamydia Uretral, Antígeno de"	0	$202.59 	$235.00 
1816	Antígeno Von Willebrand (Factor Antigénico)	9	$582.76 	$676.00 
1816	Factor Von Willebrand (Antígeno)	9	$582.76 	$676.00 
1816	Von Willebrand (Antígeno)	9	$582.76 	$676.00 
1818	Ac. Anti-Brucella por Rosa de Bengala	0	$176.72 	$205.00 
1818	Rosa de Bengala (Ac. Anti-Brucella)	0	$176.72 	$205.00 
1819	Cálculo Biliar (Reporte Cualitativo)	8	$460.34 	$534.00 
1820	Cálculo Renal (Reporte Cualitativo)	8	$331.90 	$385.00 
1822	Carga Viral de Hepatitis C por PCR	5	"$2,419.83 "	"$2,807.00 "
1822	HCV Carga Viral por PCR	5	"$2,419.83 "	"$2,807.00 "
1822	Hepatitis C Carga Viral por PCR	5	"$2,419.83 "	"$2,807.00 "
1822	PCR Carga Viral para Hepatitis C	5	"$2,419.83 "	"$2,807.00 "
1823	Citología (Papanicolaou) Cérvico-Vaginal en Base Líquida	5	$294.83 	$342.00 
1823	Papanicolaou Cérvico-Vaginal (Citología) en Base Líquida	5	$294.83 	$342.00 
1826	Citología (Papanicolaou) de Líquidos Biológicos Diversos	5	$295.69 	$343.00 
1826	Papanicolaou (Citología) de Líquidos Biológicos Diversos	5	$295.69 	$343.00 
1827	Citoquímico de Líquidos Biológicos	3	$373.28 	$433.00 
1828	Coproparasitoscópico 2 Muestras	0	$60.34 	$70.00 
1831	Cromo	Favor de comunicarse para solicitar información.		
1832	"Curva de Tolerancia a la Glucosa de 3 horas (Basal, 60, 90, 120 y 180 minutos)"	0	$119.83 	$139.00 
1833	"Curva de Tolerancia a la Glucosa de 5 horas (Basal, 60, 90, 120, 180, 240 y 300 minutos)"	0	$168.10 	$195.00 
1834	"Electrolitos (Na, K, Cl, Ca, P, Mg )"	0	$191.38 	$222.00 
1836	Eritropoyetina	3	$429.31 	$498.00 
1837	Factor Antihemofílico A (Factor VIII)	3	$418.10 	$485.00 
1837	Factor Procoagulante (Factor VIII)	3	$418.10 	$485.00 
1837	Factor VIII de la Coagulación	3	$418.10 	$485.00 
1837	Globulina Antihemofílica (Factor VIII)	3	$418.10 	$485.00 
1839	Fosfatasa Alcalina Fracción Ósea (Ostasa)	10	$560.34 	$650.00 
1839	Ostasa (Fosfatasa Alcalina Fracción Ósea)	10	$560.34 	$650.00 
1841	Globulina Fijadora de la Hormona Sexual (SHBG) 	3	$429.31 	$498.00 
1841	SHBG (Globulina Fijadora de la Hormona Sexual) 	3	$429.31 	$498.00 
1842	Glucosa Basal y Postprandial	0	$48.28 	$56.00 
1843	Haptoglobina	4	$247.41 	$287.00 
1844	Biopsias Medianas (entre 1 y 5 cm)	5	$588.79 	$683.00 
1844	Histopatológico de Piezas Medianas (entre 1 y 5 cm)	5	$588.79 	$683.00 
1846	Carga Viral de HIV-1 por PCR	7	"$2,076.72 "	"$2,409.00 "
1846	HIV-1 Carga Viral por PCR	7	"$2,076.72 "	"$2,409.00 "
1846	PCR Carga Viral para VIH-1	7	"$2,076.72 "	"$2,409.00 "
1846	VIH-1 Carga Viral por PCR	7	"$2,076.72 "	"$2,409.00 "
1847	Hormona del Crecimiento Basal y Postestímulo	0	$268.10 	$311.00 
1848	Inhibina A	3	$920.69 	"$1,068.00 "
1850	Insulina Basal y Postprandial	0	$215.52 	$250.00 
1853	Mioglobina	0	$475.00 	$551.00 
1854	Detección Mycobacterium tuberculosis por PCR Cualitativa	7	"$1,427.59 "	"$1,656.00 "
1854	Mycobacterium tuberculosis por PCR Cualitativa	7	"$1,427.59 "	"$1,656.00 "
1854	PCR Cualitativa para Mycobacterium tuberculosis	7	"$1,427.59 "	"$1,656.00 "
1855	Péptido C Basal y Postprandial	1	$573.28 	$665.00 
1856	Perfil Bioquímico de 3 Elementos - Modificado	0	$72.41 	$84.00 
1856	Química Sanguínea de 3 Elementos - Modificada	0	$72.41 	$84.00 
1857	Perfil de Andrógenos Completo	2	$825.00 	$957.00 
1858	Perfil de Coagulación II	0	$348.27 	$404.00 
1860	Perfil Hormonal Femenino con H. del Crecimiento / con Ac. Anti-Tiroideos	0	$951.72 	"$1,104.00 "
1861	Perfil Hormonal Femenino con H. del Crecimiento / sin Ac. Anti-Tiroideos	0	$800.86 	$929.00 
1862	Perfil Hormonal Masculino con H. del Crecimiento / con Ac. Anti-Tiroideos	0	"$1,006.90 "	"$1,168.00 "
1863	Perfil Hormonal Masculino con H. del Crecimiento / sin Ac. Anti-Tiroideos	0	$873.28 	"$1,013.00 "
1864	Perfil Reumático II	0	$384.48 	$446.00 
1865	Perfil Tiroideo con Ac. Anti-Tiroideos	0	$341.38 	$396.00 
1867	PAPP (Proteína Placentaria)	5	$550.86 	$639.00 
1867	Proteína Placentaria (PAPP)	5	$550.86 	$639.00 
1870	Tamiz Metabólico Neonatal Ampliado I	3	$473.28 	$549.00 
1871	Tamiz Metabólico Neonatal Básico	3	$218.10 	$253.00 
1873	Troponina I	1	$415.52 	$482.00 
1891	Anticuerpos Anti-JO	6	$356.03 	$413.00 
1898	Ácido Vanilmandelico (VMA) en Orina	5	$477.59 	$554.00 
1919	Influenza AH1N1 en Exudado (Prueba confirmatoria)	6	"$5,271.55 "	"$6,115.00 "
1930	Metanfetaminas en Orina	2	$702.59 	$815.00 
1973	Insulina Postprandial	0	$119.83 	$139.00 
1974	Hormona de Crecimiento Post-estímulo	0	$149.14 	$173.00 
1975	Análisis Microbiológico de Superficies Inertes (NOM-092-SSA1-1994 y NOM-113-SSA1-1994)	10	"$1,047.41 "	"$1,215.00 "
1975	Cultivo de Superficies Inertes (NOM-092-SSA1-1994 y NOM-113-SSA1-1994)	10	"$1,047.41 "	"$1,215.00 "
2024	Glucosa Postprandial	0	$26.72 	$31.00 
2031	Ac. Anti-Virus Herpes (HSV) Tipo I y II IgG e IgM	3	$560.34 	$650.00 
2031	Perfil de Ac. Anti-Virus Herpes (HSV) Tipo I y II IgG e IgM	3	$560.34 	$650.00 
2056	Ac. Anti-Endomisiales	6	$602.59 	$699.00 
2056	"Endomisiales, Anticuerpos"	6	$602.59 	$699.00 
2057	Perfil Hormonal Completo	0	$929.31 	"$1,078.00 "
2061	"Anaerobios, Cultivo de"	6	$500.00 	$580.00 
2061	Cultivo de Anaerobios	6	$500.00 	$580.00 
2067	"Anti-Mulleriana, Hormona"	4	"$1,384.48 "	"$1,606.00 "
2067	Factor inhibidor Mulleriano (FIM)	4	"$1,384.48 "	"$1,606.00 "
2067	Hormona Anti-Mulleriana	4	"$1,384.48 "	"$1,606.00 "
2068	Cobre	10	$658.62 	$764.00 
2070	Clostridium difficile (Toxinas A y B) en Heces	0	$964.66 	"$1,119.00 "
2070	Toxinas A y B de Clostridium difficile en Heces	0	$964.66 	"$1,119.00 "
2071	Péptido C Postprandial	1	$290.52 	$337.00 
2072	Cariotipo (Heparina) con Fotografía	17	"$3,351.72 "	"$3,888.00 "
2073	Proteína C de la Coagulación (Actividad)	6	$708.62 	$822.00 
2074	Proteína S de la Coagulación (Actividad)	6	"$1,132.76 "	"$1,314.00 "
2077	Ac. Anti-Brucella IgM	6	$381.90 	$443.00 
2077	"Brucella IgM, Anticuerpos"	6	$381.90 	$443.00 
2081	"Calciferol (Vitamina D, 25 Hidroxi)"	4	$356.90 	$414.00 
2081	"Vitamina D, 25 Hidroxi (Calciferol)"	4	$356.90 	$414.00 
2082	BNP (Péptido Natriurético Cerebral) 	2	$745.69 	$865.00 
2082	Péptido Natriurético Cerebral (BNP) 	2	$745.69 	$865.00 
2083	Arginina Vasopresina (Hormona Antidiurética) 	12	"$1,700.00 "	"$1,972.00 "
2083	Hormona Antidiurética (Arginina Vasopresina) 	12	"$1,700.00 "	"$1,972.00 "
2088	"C1q, Componente de Complemento"	Favor de comunicarse para solicitar información.		
2088	Complemento C1q	Favor de comunicarse para solicitar información.		
2088	Fracción C1q del Complemento	Favor de comunicarse para solicitar información.		
2092	Cortisol Vespertino (16:00 a 18:00h)	0	$116.38 	$135.00 
2097	Perfil Escolar Completo	5	$384.48 	$446.00 
